,"MobileNetV3,2,2","MobileNetV3,4,2","MobileNetV3,4,4","MobileNetV3,8,2","MobileNetV3,8,4","MobileNetV3,8,8","GraphSage,2,2","GraphSage,4,2","GraphSage,4,4","GraphSage,8,2","GraphSage,8,4","GraphSage,8,8","FSDP,2,2","FSDP,4,2","FSDP,4,4","FSDP,8,2","FSDP,8,4","FSDP,8,8","Transformer-XL,2,2","Transformer-XL,4,2","Transformer-XL,4,4","Transformer-XL,8,2","Transformer-XL,8,4","Transformer-XL,8,8","DLRM,2,2","DLRM,4,2","DLRM,4,4","DLRM,8,2","DLRM,8,4","DLRM,8,8","MoE,2,2","MoE,4,2","MoE,4,4","MoE,8,2","MoE,8,4","MoE,8,8"
"MobileNetV3,2,2",0.995,0.931,0.993,0.996,1.000,1.000,1.000,0.904,1.000,0.908,1.000,1.000,0.952,1.000,0.831,0.967,0.966,0.964,0.952,0.872,1.000,0.808,1.000,1.000,0.965,0.970,0.973,0.938,0.814,0.707,0.967,1.000,0.801,0.972,0.956,0.940
"MobileNetV3,4,2",0.983,1.000,0.817,1.000,1.000,0.878,0.982,0.917,0.939,0.913,0.844,0.780,0.990,0.828,1.000,0.912,0.858,0.807,0.859,0.894,0.936,0.784,0.883,0.994,0.977,0.919,1.000,0.848,0.916,0.988,0.996,0.834,0.856,0.996,0.914,0.838
"MobileNetV3,4,4",1.000,1.000,1.000,1.000,1.000,0.964,0.946,0.870,1.000,0.990,0.877,0.776,0.897,0.867,0.913,0.880,0.942,1.000,0.944,0.987,0.934,0.870,1.000,1.000,1.000,0.918,1.000,0.993,1.000,1.000,1.000,1.000,0.907,1.000,1.000,1.000
"MobileNetV3,8,2",0.898,1.000,0.967,0.901,0.932,0.963,1.000,1.000,0.884,1.000,0.914,0.741,0.952,0.855,0.860,0.845,0.819,0.793,0.792,0.826,0.877,0.895,0.887,0.880,1.000,0.925,1.000,1.000,0.929,0.806,0.973,0.986,0.957,0.810,1.000,1.000
"MobileNetV3,8,4",0.887,1.000,0.970,0.869,0.873,0.878,0.796,0.924,0.926,1.000,0.904,0.807,1.000,0.805,0.927,0.838,0.763,0.694,0.852,0.800,0.896,0.853,0.962,1.000,1.000,0.940,0.995,0.935,0.987,1.000,0.829,0.945,0.927,0.655,0.861,1.000
"MobileNetV3,8,8",0.877,1.000,0.973,0.838,0.819,0.800,0.621,0.793,0.969,0.907,0.893,0.880,1.000,0.758,0.999,0.831,0.710,0.607,0.916,0.775,0.915,0.813,1.000,1.000,0.869,0.954,0.983,0.817,1.000,1.000,0.706,0.906,0.898,0.530,0.702,0.929
"GraphSage,2,2",0.841,0.927,0.880,0.981,0.842,0.722,0.900,0.923,0.810,0.640,0.849,1.000,0.845,0.903,0.853,0.766,0.797,0.831,0.919,0.811,0.879,0.815,0.906,1.000,0.930,0.825,0.833,0.768,0.860,0.962,0.650,0.878,0.760,0.704,0.866,1.000
"GraphSage,4,2",0.861,0.884,1.000,0.986,0.888,0.800,1.000,1.000,1.000,0.962,0.880,0.806,0.929,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.841,0.622,1.000,1.000,1.000,0.802,1.000,1.000
"GraphSage,4,4",0.976,0.941,0.842,1.000,0.886,0.684,0.745,1.000,1.000,0.944,0.995,1.000,0.943,0.994,0.941,0.848,1.000,1.000,1.000,0.902,1.000,0.932,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.975,0.854,1.000,0.932,0.948,0.965
"GraphSage,8,2",0.732,0.807,0.963,0.841,0.766,0.699,0.945,0.916,0.931,0.952,0.909,0.869,0.911,0.827,0.812,0.713,0.733,0.754,0.935,0.984,1.000,0.629,0.764,0.928,0.708,0.807,0.931,1.000,0.963,0.895,0.813,0.975,0.772,0.653,0.890,1.000
"GraphSage,8,4",0.781,0.674,0.694,0.846,0.906,0.969,0.983,0.775,0.837,0.630,0.853,1.000,0.852,0.834,0.878,0.886,0.769,0.668,0.936,0.885,0.864,0.764,0.883,1.000,1.000,0.718,0.741,0.892,0.860,0.830,0.837,0.660,0.424,0.847,0.798,0.752
"GraphSage,8,8",0.832,0.563,0.500,0.852,1.000,1.000,1.000,0.657,0.753,0.417,0.800,1.000,0.798,0.841,0.949,1.000,0.807,0.592,0.937,0.797,0.707,0.929,1.000,1.000,1.000,0.638,0.589,0.767,0.769,0.770,0.862,0.446,0.233,1.000,0.716,0.466
"FSDP,2,2",0.846,0.820,0.810,0.788,0.761,0.735,0.998,0.993,0.978,0.976,0.999,1.000,0.510,0.558,0.563,0.551,0.474,0.408,0.674,0.485,0.687,0.695,0.766,0.844,0.850,1.000,1.000,1.000,1.000,1.000,0.734,0.608,0.706,0.689,0.686,0.683
"FSDP,4,2",0.845,0.788,0.802,0.781,0.757,0.734,0.965,0.982,0.980,0.990,0.966,0.943,0.604,0.640,0.616,0.530,0.492,0.457,0.701,0.599,0.641,0.765,0.628,0.516,0.855,0.819,0.861,0.830,0.840,0.849,0.702,0.671,0.699,0.686,0.640,0.598
"FSDP,4,4",0.877,0.822,0.784,0.820,0.779,0.741,1.000,0.995,0.980,0.999,0.988,0.978,0.494,0.713,0.525,0.441,0.444,0.448,0.671,0.576,0.722,0.642,0.654,0.667,0.945,0.867,0.867,0.830,0.832,0.835,0.697,0.675,0.566,0.681,0.589,0.509
"FSDP,8,2",0.858,0.808,0.794,0.774,0.759,0.744,0.959,0.978,0.965,0.988,0.990,0.993,0.540,0.540,0.570,0.609,0.541,0.481,0.732,0.613,0.600,0.744,0.738,0.732,0.865,0.829,0.803,0.849,0.853,0.858,0.618,0.692,0.682,0.682,0.687,0.693
"FSDP,8,4",0.872,0.810,0.804,0.766,0.765,0.764,0.984,0.976,0.963,0.995,0.968,0.943,0.563,0.560,0.602,0.674,0.535,0.425,0.693,0.542,0.677,0.606,0.617,0.628,0.859,0.859,0.829,0.861,0.845,0.830,0.618,0.646,0.675,0.589,0.583,0.577
"FSDP,8,8",0.887,0.811,0.814,0.757,0.771,0.785,1.000,0.973,0.962,1.000,0.947,0.895,0.587,0.580,0.635,0.746,0.529,0.375,0.657,0.480,0.764,0.493,0.515,0.538,0.853,0.890,0.856,0.873,0.837,0.803,0.618,0.603,0.669,0.509,0.495,0.480
"Transformer-XL,2,2",1.000,0.895,0.864,1.000,0.846,0.657,1.000,1.000,1.000,1.000,1.000,1.000,0.534,1.000,0.550,0.534,0.540,0.546,0.709,0.732,0.653,0.641,0.681,0.725,0.935,1.000,1.000,1.000,1.000,1.000,0.625,0.597,0.614,0.591,0.603,0.616
"Transformer-XL,4,2",0.795,0.769,0.768,0.771,0.757,0.744,0.906,0.918,0.919,0.881,0.927,0.975,0.671,0.510,0.442,0.521,0.519,0.517,0.607,0.714,0.530,0.756,0.581,0.446,0.815,0.791,0.817,0.768,0.782,0.798,0.601,0.572,0.656,0.591,0.584,0.576
"Transformer-XL,4,4",0.899,0.844,0.818,0.841,0.786,0.734,1.000,1.000,0.977,1.000,0.987,0.970,0.527,0.485,0.495,0.423,0.413,0.404,0.614,0.515,0.603,0.531,0.504,0.479,0.892,0.845,0.857,0.870,0.857,0.844,0.622,0.544,0.581,0.561,0.551,0.541
"Transformer-XL,8,2",0.820,0.788,0.773,0.782,0.760,0.739,0.934,0.923,0.920,0.915,0.890,0.865,0.456,0.410,0.584,0.413,0.571,0.788,0.557,0.508,0.586,0.644,0.506,0.398,0.843,0.834,0.771,0.772,0.763,0.755,0.532,0.516,0.623,0.544,0.524,0.505
"Transformer-XL,8,4",0.880,0.829,0.769,0.844,0.769,0.700,0.957,0.986,0.968,0.958,0.981,1.000,0.526,0.489,0.566,0.426,0.496,0.578,0.621,0.686,0.740,0.678,0.587,0.509,0.919,0.834,0.818,0.848,0.816,0.786,0.664,0.560,0.589,0.557,0.553,0.549
"Transformer-XL,8,8",0.944,0.872,0.766,0.911,0.777,0.663,0.980,1.000,1.000,1.000,1.000,1.000,0.608,0.584,0.550,0.438,0.431,0.424,0.693,0.925,0.933,0.715,0.682,0.650,1.000,0.834,0.869,0.931,0.873,0.819,0.829,0.608,0.558,0.571,0.584,0.598
"DLRM,2,2",1.000,0.946,1.000,1.000,0.882,0.766,0.956,0.836,0.937,0.981,0.809,0.666,0.987,0.799,0.746,0.716,0.693,0.671,0.798,0.703,0.663,0.657,0.658,0.659,0.956,0.785,0.980,0.957,0.959,0.962,0.775,0.841,0.854,0.923,0.841,0.767
"DLRM,4,2",1.000,1.000,1.000,1.000,0.985,0.884,0.994,1.000,0.979,0.874,1.000,1.000,0.881,0.767,0.623,0.722,0.663,0.609,0.773,0.802,0.660,0.669,0.627,0.587,1.000,1.000,1.000,0.959,1.000,1.000,0.919,0.962,0.692,0.873,0.709,0.575
"DLRM,4,4",1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.821,0.886,0.735,1.000,1.000,0.558,0.704,0.565,0.727,0.595,0.487,0.807,0.544,0.634,0.679,1.000,1.000,1.000,0.851,0.862,1.000,0.866,0.634,0.868,0.793,0.661,0.855,0.630,0.464
"DLRM,8,2",1.000,0.923,0.917,0.558,0.949,1.000,0.838,0.817,0.905,0.607,0.623,0.639,0.482,0.461,0.605,0.565,1.000,1.000,0.705,0.489,1.000,0.648,0.576,0.512,0.428,0.678,0.746,0.794,0.721,0.655,0.767,0.594,0.533,0.709,0.534,0.402
"DLRM,8,4",0.366,0.814,1.000,0.642,0.763,0.905,0.887,0.888,0.865,1.000,0.906,0.786,0.557,0.584,0.660,0.600,0.587,0.574,0.694,0.751,0.828,0.596,1.000,1.000,0.905,1.000,0.954,1.000,0.713,0.435,0.760,0.661,0.756,0.834,0.605,0.439
"DLRM,8,8",0.123,0.717,1.000,0.740,0.613,0.507,0.939,0.965,0.827,1.000,1.000,0.965,0.644,0.739,0.719,0.637,0.344,0.186,0.683,1.000,0.683,0.549,1.000,1.000,1.000,1.000,1.000,1.000,0.704,0.289,0.754,0.735,1.000,0.981,0.685,0.478
"MoE,2,2",0.796,0.770,0.756,0.768,0.732,0.697,0.953,0.977,0.967,0.968,0.972,0.977,0.451,0.383,0.425,0.376,0.369,0.361,0.540,0.457,0.514,0.540,0.569,0.598,0.818,0.974,0.781,0.928,0.985,1.000,0.382,0.499,0.509,0.492,0.512,0.533
"MoE,4,2",0.839,0.806,0.770,0.758,0.752,0.746,0.966,0.986,0.960,0.979,0.982,0.985,0.516,0.448,0.428,0.396,0.411,0.426,0.568,0.553,0.582,0.563,0.577,0.592,0.846,0.792,0.812,0.797,0.814,0.832,0.544,0.528,0.536,0.534,0.538,0.543
"MoE,4,4",0.892,0.790,0.768,0.765,0.739,0.714,0.987,1.000,0.960,0.989,0.955,0.922,0.413,0.461,0.526,0.389,0.360,0.333,0.598,0.491,0.549,0.535,0.532,0.528,0.871,0.823,0.823,0.798,0.790,0.782,0.528,0.512,0.521,0.520,0.497,0.474
"MoE,8,2",0.839,0.778,0.810,0.760,0.752,0.744,0.970,0.964,0.964,0.971,0.973,0.976,0.527,0.438,0.416,0.401,0.399,0.397,0.595,0.508,0.585,0.596,0.588,0.580,0.847,0.812,0.827,0.789,0.827,0.867,0.546,0.520,0.542,0.531,0.535,0.540
"MoE,8,4",0.901,0.812,0.770,0.794,0.759,0.725,0.992,1.000,0.966,1.000,0.984,0.967,0.469,0.437,0.539,0.391,0.445,0.505,0.579,0.519,0.611,0.669,0.562,0.472,0.918,0.846,0.847,0.897,0.829,0.767,0.562,0.549,0.572,0.534,0.534,0.533
"MoE,8,8",0.968,0.847,0.733,0.830,0.766,0.707,1.000,1.000,0.967,1.000,0.995,0.959,0.417,0.436,0.699,0.382,0.495,0.641,0.564,0.530,0.639,0.751,0.537,0.384,0.995,0.881,0.867,1.000,0.832,0.678,0.579,0.580,0.603,0.538,0.532,0.526